trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
300_0010,19:25,19:25,kollafjar_adalur_vi_effo,3,0,0
300_0010,19:40,19:40,sandavagur,4,0,0
300_0010,19:45,19:45,mi_vagur,5,0,0
300_0010,19:55,19:55,vaga_airport_fl_gv_llurin,6,0,0
300_0010,20:05,20:05,s_rvagur,7,0,0
300_0011,06:30,06:30,torshavn,1,0,0
300_0011,06:50,06:50,kollafj_r_ur_tunnel,2,0,0
300_0011,06:55,06:55,kollafjar_adalur_vi_effo,3,0,0
300_0011,07:10,07:10,sandavagur,4,0,0
300_0011,07:15,07:15,mi_vagur,5,0,0
300_0011,07:25,07:25,vaga_airport_fl_gv_llurin,6,0,0
300_0011,07:35,07:35,s_rvagur,7,0,0
300_0012,09:15,09:15,torshavn,1,0,0
300_0012,09:35,09:35,kollafj_r_ur_tunnel,2,0,0
300_0012,09:40,09:40,kollafjar_adalur_vi_effo,3,0,0
300_0012,09:55,09:55,sandavagur,4,0,0
300_0012,10:00,10:00,mi_vagur,5,0,0
300_0012,10:10,10:10,vaga_airport_fl_gv_llurin,6,0,0
300_0012,10:20,10:20,s_rvagur,7,0,0
300_0013,12:30,12:30,torshavn,1,0,0
300_0013,12:50,12:50,kollafj_r_ur_tunnel,2,0,0
300_0013,12:55,12:55,kollafjar_adalur_vi_effo,3,0,0
300_0013,13:10,13:10,sandavagur,4,0,0
300_0013,13:15,13:15,mi_vagur,5,0,0
300_0013,13:25,13:25,vaga_airport_fl_gv_llurin,6,0,0
300_0013,13:35,13:35,s_rvagur,7,0,0
300_0014,16:00,16:00,torshavn,1,0,0
300_0014,16:20,16:20,kollafj_r_ur_tunnel,2,0,0
300_0014,16:25,16:25,kollafjar_adalur_vi_effo,3,0,0
300_0014,16:40,16:40,sandavagur,4,0,0
300_0014,16:45,16:45,mi_vagur,5,0,0
300_0014,16:55,16:55,vaga_airport_fl_gv_llurin,6,0,0
300_0014,17:05,17:05,s_rvagur,7,0,0
300_0015,19:00,19:00,torshavn,1,0,0
300_0015,19:20,19:20,kollafj_r_ur_tunnel,2,0,0
300_0015,19:25,19:25,kollafjar_adalur_vi_effo,3,0,0
300_0015,19:40,19:40,sandavagur,4,0,0
300_0015,19:45,19:45,mi_vagur,5,0,0
300_0015,19:55,19:55,vaga_airport_fl_gv_llurin,6,0,0
300_0015,20:05,20:05,s_rvagur,7,0,0
300_0016,06:30,06:30,torshavn,1,0,0
300_0016,06:50,06:50,kollafj_r_ur_tunnel,2,0,0
300_0016,06:55,06:55,kollafjar_adalur_vi_effo,3,0,0
300_0016,07:10,07:10,sandavagur,4,0,0
300_0016,07:15,07:15,mi_vagur,5,0,0
300_0016,07:25,07:25,vaga_airport_fl_gv_llurin,6,0,0
300_0016,07:35,07:35,s_rvagur,7,0,0
300_0017,09:15,09:15,torshavn,1,0,0
300_0017,09:35,09:35,kollafj_r_ur_tunnel,2,0,0
300_0017,09:40,09:40,kollafjar_adalur_vi_effo,3,0,0
300_0017,09:55,09:55,sandavagur,4,0,0
300_0017,10:00,10:00,mi_vagur,5,0,0
300_0017,10:10,10:10,vaga_airport_fl_gv_llurin,6,0,0
300_0017,10:20,10:20,s_rvagur,7,0,0
300_0018,12:30,12:30,torshavn,1,0,0
300_0018,12:50,12:50,kollafj_r_ur_tunnel,2,0,0
300_0018,12:55,12:55,kollafjar_adalur_vi_effo,3,0,0
300_0018,13:10,13:10,sandavagur,4,0,0
300_0018,13:15,13:15,mi_vagur,5,0,0
300_0018,13:25,13:25,vaga_airport_fl_gv_llurin,6,0,0
300_0018,13:35,13:35,s_rvagur,7,0,0
300_0019,16:00,16:00,torshavn,1,0,0
300_0019,16:20,16:20,kollafj_r_ur_tunnel,2,0,0
300_0019,16:25,16:25,kollafjar_adalur_vi_effo,3,0,0
300_0019,16:40,16:40,sandavagur,4,0,0
300_0019,16:45,16:45,mi_vagur,5,0,0
300_0019,16:55,16:55,vaga_airport_fl_gv_llurin,6,0,0
300_0019,17:05,17:05,s_rvagur,7,0,0
300_0020,19:00,19:00,torshavn,1,0,0
300_0020,19:20,19:20,kollafj_r_ur_tunnel,2,0,0
300_0020,19:25,19:25,kollafjar_adalur_vi_effo,3,0,0
300_0020,19:40,19:40,sandavagur,4,0,0
300_0020,19:45,19:45,mi_vagur,5,0,0
300_0020,19:55,19:55,vaga_airport_fl_gv_llurin,6,0,0
300_0020,20:05,20:05,s_rvagur,7,0,0
300_0021,06:45,06:45,s_rvagur,1,0,0
300_0021,07:00,07:00,mi_vagur,2,0,0
300_0021,07:05,07:05,sandavagur,3,0,0
